month,champion,count,total_games,pick_rate,month_date
2024-08,Rakan,173,1750,9.885714285714284,2024-08-01
2024-08,Sejuani,251,1750,14.342857142857143,2024-08-01
2024-08,Viego,71,1750,4.057142857142857,2024-08-01
2024-08,Zeri,301,1750,17.2,2024-08-01
2024-09,Aphelios,5,956,0.5230125523012552,2024-09-01
2024-09,Jinx,35,956,3.6610878661087867,2024-09-01
2024-09,K'Sante,151,956,15.794979079497908,2024-09-01
2024-09,Nautilus,94,956,9.832635983263598,2024-09-01
2024-09,Rakan,77,956,8.05439330543933,2024-09-01
2024-09,Sejuani,104,956,10.87866108786611,2024-09-01
2024-09,Viego,78,956,8.158995815899582,2024-09-01
2024-09,Zeri,52,956,5.439330543933055,2024-09-01
2024-10,Aphelios,14,1436,0.9749303621169917,2024-10-01
2024-10,Jinx,83,1436,5.779944289693593,2024-10-01
2024-10,K'Sante,190,1436,13.231197771587745,2024-10-01
2024-10,Nautilus,157,1436,10.933147632311977,2024-10-01
2024-10,Rakan,154,1436,10.724233983286908,2024-10-01
2024-10,Sejuani,146,1436,10.167130919220057,2024-10-01
2024-10,Viego,123,1436,8.565459610027855,2024-10-01
2024-10,Zeri,31,1436,2.1587743732590527,2024-10-01
2024-11,Aphelios,14,418,3.349282296650718,2024-11-01
2024-11,Jinx,16,418,3.827751196172249,2024-11-01
2024-11,K'Sante,66,418,15.789473684210526,2024-11-01
2024-11,Nautilus,43,418,10.287081339712918,2024-11-01
2024-11,Rakan,59,418,14.114832535885165,2024-11-01
2024-11,Sejuani,44,418,10.526315789473683,2024-11-01
2024-11,Viego,37,418,8.851674641148326,2024-11-01
2024-11,Zeri,1,418,0.23923444976076555,2024-11-01
2024-12,Jinx,3,84,3.571428571428571,2024-12-01
2024-12,K'Sante,19,84,22.61904761904762,2024-12-01
2024-12,Nautilus,12,84,14.285714285714285,2024-12-01
2024-12,Rakan,5,84,5.952380952380952,2024-12-01
2024-12,Sejuani,16,84,19.047619047619047,2024-12-01
2024-12,Viego,14,84,16.666666666666664,2024-12-01
2024-12,Zeri,1,84,1.1904761904761905,2024-12-01
